product_card_id,product_category_id,product_name,product_price
191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
209.90128,9.0,Under Armour Women's Ignite PIP VI Slide,39.99
1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99
834.1203,43.0,Team Golf St. Louis Cardinals Putter Grip,24.99
1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98
627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
957.0,45.0,Diamondback Women's Serene Classic Comfort Bi,299.98
627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99
627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0
1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98
191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98
627.0,29.0,Fighting video games,39.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99
600.3287,26.0,Nike Men's Deutschland Weltmeister Winners Bl,30.0
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
957.0,43.0,Diamondback Women's Serene Classic Comfort Bi,299.98
403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99
1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
1073.0,48.0,Pelican Sunstream 100 Kayak,199.99
818.1553,29.0,Web Camera,24.99
